ablation_id,category,changed_component,decision,risk_flag,OOF macro-F1,class0 F1,note
sig_no_gender_conflict,feature,gender_conflict,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
sig_no_age_conflict,feature,age_conflict,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
sig_no_brand_contradiction,feature,brand_contradiction,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
sig_no_size_number,feature,size_number,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
model_tabular_baseline,model,tabular,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
model_sklearn_text_baseline,model,sklearn_text,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
model_transformer_ce_best,model,transformer_ce,Good but risky,needs_fold_safe_recheck,,,requires real transformer/GPU OOF; skipped unless --allow-transformer
model_tabular_plus_sklearn_text,model,blend_tab_sklearn,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
model_tabular_plus_transformer,model,blend_tab_transformer,Good but risky,needs_fold_safe_recheck,,,requires real transformer/GPU OOF; skipped unless --allow-transformer
model_tabular_plus_transformer_plus_dense,model,blend_tab_transformer_dense,Good but risky,needs_fold_safe_recheck,,,requires real transformer/GPU OOF; skipped unless --allow-transformer
model_best_single,model,best_single,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
model_best_balanced_blend,model,best_blend,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_fixed_05,threshold,fixed_05,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_oof_best,threshold,oof_best,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_class0_protective,threshold,class0_protective,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_class1_protective,threshold,class1_protective,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_stable_midpoint,threshold,stable_midpoint,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_segment_analysis,threshold,segment_threshold,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
dense_no_dense_anywhere,dense,dense_off,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
dense_features_only,dense,dense_features,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
dense_hard_negatives_only,dense,dense_negatives,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
dense_features_plus_negatives,dense,dense_features_and_negatives,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
dense_text_v1,dense,item_text_version,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
dense_text_v2,dense,item_text_version,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
dense_backend_A,dense,dense_backend_A,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
dense_backend_B,dense,dense_backend_B,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
