experiment_id,experiment_name,submission_id,file_path,model_family,splitter,threshold,OOF macro-F1,class0 F1,class1 F1,public_lb_score,public_minus_oof,public_rank_delta,threshold_fragility,seed_std,risk_flag,strategic_status,notes
model_best_single,best_single_model,,,unknown,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
model_best_balanced_blend,best_balanced_blend,,,ensemble,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_fixed_05,threshold_fixed_05,,,unknown,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_oof_best,threshold_oof_best,,,unknown,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_class0_protective,threshold_class0_protective,,,unknown,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_class1_protective,threshold_class1_protective,,,unknown,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_stable_midpoint,threshold_stable_midpoint,,,tabular,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
thr_segment_analysis,threshold_segment_analysis_only,,,unknown,term_group,,,,,,,,,,,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
dense_no_dense_anywhere,no_dense_anywhere,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
dense_features_only,dense_features_only,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
dense_hard_negatives_only,dense_hard_negatives_only,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
dense_features_plus_negatives,dense_features_plus_dense_negatives,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
dense_text_v1,dense_text_v1,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
dense_text_v2,dense_text_v2,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
dense_backend_A,dense_backend_A_multilingual_minilm,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
dense_backend_B,dense_backend_B_turkish_candidate,,,dense_enhanced,term_group,,,,,,,,,,DENSE_ARTIFACT_RISK,high_risk_experimental,requires real_dense artefacts; skipped unless --allow-real-dense
